Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Dumbbell Lunges,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-128d-3d-dumbbell-lunge-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-128d-3d-dumbbell-lunge-m5-16x9.jpg']"
Single-arm standing shoulder press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-107d-single-arm-standing-shoulder-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-107d-single-arm-standing-shoulder-press-m2-16x9.jpg']"
Preacher Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Barbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-55s-ez-bar-preacher-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-55s-ez-bar-preacher-curl-m2-16x9.jpg']"
Reverse crunch,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-263a-reverse-crunch-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-263a-reverse-crunch-m2.jpg']"
Standing Dumbbell Triceps Extension,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/june/345_1l.jpg', 'https://www.bodybuilding.com/images/2020/june/345_2l.jpg']"
Elliptical trainer,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22m-elliptical-trainer-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22m-elliptical-trainer-m2-16x9.jpg']"
Bodyweight squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27a-bodyweight-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27a-bodyweight-squat-m2-16x9.jpg']"
Bent Over Two-Dumbbell Row With Palms In,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/l/17_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/l/17_2.jpg']"
Hex-bar deadlift,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Other,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-123s-hex-bar-deadlift-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-123s-hex-bar-deadlift-m2-16x9.jpg']"
Narrow-stance leg press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-46m-wide-stance-leg-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-46m-wide-stance-leg-press-m2-16x9.jpg']"
Single-leg glute bridge,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Glutes,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61a-single-leg-glute-bridge-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61a-single-leg-glute-bridge-m3-16x9.jpg']"
Barbell Curls Lying Against An Incline,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Barbell,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/l/300_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/l/300_2.jpg']"
Standing Hip Circles,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abductors,Body Only,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/l/873_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/l/873_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/l/873_3.jpg']"
Clam,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abductors,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/april/2843_1l.jpg', 'https://www.bodybuilding.com/images/2020/april/2843_2l.jpg']"
Narrow Stance Hack Squats,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/271/Male/l/271_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/271/Male/l/271_2.jpg']"
Seated Close-Grip Concentration Barbell Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Barbell,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/309/Male/l/309_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/309/Male/l/309_2.jpg']"
Dumbbell Lying Pronation,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/321/Male/l/321_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/321/Male/l/321_2.jpg']"
Smith machine box squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-alt-36t-smith-machine-box-squat-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-alt-36t-smith-machine-box-squat-m2-16x9.jpg']"
Drop Push,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Other,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/779/Male/l/779_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/779/Male/l/779_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/779/Male/l/779_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/779/Male/l/779_4.jpg']"
Upside-down pull-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Other,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-141c-upside-down-pull-up-m3-new.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-141c-upside-down-pull-up-m4.jpg']"
Reverse Barbell Preacher Curls,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,E-Z Curl Bar,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-21b-reverse-grip-barbell-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-21b-reverse-grip-barbell-curl-m2-16x9.jpg']"
Close-grip EZ-bar bench press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,E-Z Curl Bar,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-93s-close-grip-ez-bar-bench-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-93s-close-grip-ez-bar-bench-press-m2-16x9.jpg']"
Incline Push-Up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18e-hands-elevated-push-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-18e-hands-elevated-push-up-m2-16x9.jpg']"
Hyperextensions With No Hyperextension Bench,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lower Back,Body Only,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/24/Male/l/24_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/24/Male/l/24_2.jpg']"
Dumbbell front raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13d-dumbbell-front-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13d-dumbbell-front-raise-m2-16x9.jpg']"
Parallel Bar Dip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1m-triceps-dip-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1m-triceps-dip-m2-16x9.jpg']"
Stairmaster,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51m-stair-climber-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51m-stair-climber-m2-16x9.jpg']"
Double Leg Butt Kick,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/l/778_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/l/778_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/l/778_3.jpg']"
Groiners,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Adductors,Body Only,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/592/Male/l/592_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/592/Male/l/592_2.jpg']"
Neck Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Chest,Barbell,Average,8.8,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/274/Male/l/274_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/274/Male/l/274_2.jpg']"
Broad jump,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-44a-broad-jump-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-44a-broad-jump-m6-16x9.jpg']"
Machine Squat,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/3193_1l.jpg', 'https://www.bodybuilding.com/images/2020/xdb/3193_2l.jpg']"
V-bar pull-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Machine,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-140c-v-bar-pull-up-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2020-xdb-140c-v-bar-pull-up-m2.jpg']"
Ring dip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-188s-ring-dip-m1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-188s-ring-dip-m2.jpg']"
Standing One-Arm Cable Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Cable,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27c-single-arm-cable-biceps-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-27c-single-arm-cable-biceps-curl-m2-16x9.jpg']"
Burpee,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Body Only,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-38a-burpee-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-38a-burpee-m4-16x9.jpg']"
Double-arm triceps kick-back,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Dumbbell,Average,8.8,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-75d-double-arm-triceps-kick-back-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-75d-double-arm-triceps-kick-back-m3-16x9.jpg']"
Dumbbell reverse lunge,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-83d-dumbbell-reverse-lunge-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-83d-dumbbell-reverse-lunge-m2-16x9.jpg']"
Seated Calf Raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Calves,Machine,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13m-machine-seated-calf-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-13m-machine-seated-calf-raise-m2-16x9.jpg']"
Standing dumbbell shrug,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Traps,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-115d-standing-dumbbell-shrug-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-115d-standing-dumbbell-shrug-m2-16x9.jpg']"
Calf Press On The Leg Press Machine,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Calves,Machine,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-49m-leg-press-calf-raise-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-49m-leg-press-calf-raise-m2-16x9.jpg']"
Barbell step-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-73e-barbell-step-up-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-73e-barbell-step-up-m3-16x9.jpg']"
Feet-elevated bench dip,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Triceps,Body Only,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-23e-feet-elevated-bench-dip-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-23e-feet-elevated-bench-dip-m2-16x9.jpg']"
Bent Over Barbell Row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Barbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-01b-barbell-bent-over-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-01b-barbell-bent-over-row-m2-16x9.jpg']"
Crunches,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Body Only,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-172a-crunch-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-172a-crunch-m2-16x9.jpg']"
Dumbbell Alternate Bicep Curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1d-alternating-biceps-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-1d-alternating-biceps-curl-m2-16x9.jpg']"
Bent-over dumbbell rear delt row,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-101d-bent-over-dumbbell-rear-delt-row-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-101d-bent-over-dumbbell-rear-delt-row-m2-16x9.jpg']"
External Rotation with Cable,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Cables,Average,8.7,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/869/Male/l/869_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/869/Male/l/869_2.jpg']"
Handstand push-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Body Only,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-179s-handstand-push-up-profile-m3.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-179s-handstand-push-up-profile-m4.jpg']"
Single-arm dumbbell preacher curl,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,8.7,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-53s-single-arm-dumbbell-preacher-curl-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-53s-single-arm-dumbbell-preacher-curl-m2-16x9.jpg']"
